"","RunCode","RunName","StationNumber","SAM_Code","Datetime","QST_NAME","SamplingDate"
"431","ES1013B0049","YB - Fall Study","B9D81281402","ES1013B0303",2013-10-22 11:00:00,"RYI - Cache Slough",2013-10-22
"432","ES1013B0049","YB - Fall Study","B9D81040386","ES1013B0305",2013-10-22 10:36:00,"SRV - Vieira's",2013-10-22
"433","ES1013B0049","YB - Fall Study","B9D80960412","ES1013B0307",2013-10-22 10:20:00,"RVB - Rio Vista",2013-10-22
"434","ES1013B0060","Yolo Bypass 2013","A0000000","ES1013B0430",2013-10-30 08:50:00,"YB @ RSTR",2013-10-30
"435","ES1013B0060","Yolo Bypass 2013","A0290400","ES1013B0431",2013-10-30 10:24:00,"Lisbon Sl @Toe Drain",2013-10-30
"436","ES1014B0069","YB - Fall Study","A1030000","ES1014B0533",2014-10-13 00:00:00,"Woodland Wasetwater",2014-10-13
"437","ES1015B0067","YB - Fall Study","A0D84761435","ES1015B0571",2015-10-01 08:29:00,"Ridge Cut Slough",2015-10-01
"438","ES1015B0067","YB - Fall Study","A1030000","ES1015B0573",2015-10-01 09:21:00,"Woodland Wasetwater",2015-10-01
"439","ES1015B0067","YB - Fall Study","A0D84061386","ES1015B0574",2015-10-01 09:39:00,"Toe Drain at Rd. 22",2015-10-01
"440","ES1015B0067","YB - Fall Study","A0033300","ES1015B0575",2015-10-01 11:17:00,"Davis Wastewater",2015-10-01
"441","ES1015B0067","YB - Fall Study","A0D83441350","ES1015B0576",2015-10-01 11:41:00,"Toe Drain@ I-80",2015-10-01
"442","ES1015B0067","YB - Fall Study","B9D82851352","ES1015B0577",2015-10-01 12:10:00,"Toe Drain YB LISBON",2015-10-01
"443","ES1015B0069","YB - Fall Study","A0D84761435","ES1015B0592",2015-10-08 08:20:00,"Ridge Cut Slough",2015-10-08
"444","ES1015B0069","YB - Fall Study","A1030000","ES1015B0594",2015-10-08 08:55:00,"Woodland Wasetwater",2015-10-08
"445","ES1015B0069","YB - Fall Study","A0D84061386","ES1015B0595",2015-10-08 09:14:00,"Toe Drain at Rd. 22",2015-10-08
"446","ES1015B0069","YB - Fall Study","A0033300","ES1015B0596",2015-10-08 09:50:00,"Davis Wastewater",2015-10-08
"447","ES1015B0069","YB - Fall Study","A0D83441350","ES1015B0597",2015-10-08 10:10:00,"Toe Drain@ I-80",2015-10-08
"448","ES1015B0069","YB - Fall Study","B9D82851352","ES1015B0598",2015-10-08 10:35:00,"Toe Drain YB LISBON",2015-10-08
"449","ES1015B0069","YB - Fall Study","A0D82120386","ES1015B0599",2015-10-08 09:44:00,"Toe Drain at STTD",2015-10-08
"450","ES1015B0069","YB - Fall Study","B9D81651399","ES1015B0600",2015-10-08 10:00:00,"BL5 -Below Toe Drain",2015-10-08
"451","ES1015B0069","YB - Fall Study","B9D81450411","ES1015B0601",2015-10-08 10:11:00,"Liberty at S End",2015-10-08
"452","ES1015B0069","YB - Fall Study","B9D81281402","ES1015B0602",2015-10-08 10:23:00,"RYI - Cache Slough",2015-10-08
"453","ES1015B0069","YB - Fall Study","B9D81040386","ES1015B0603",2015-10-08 10:39:00,"SRV - Vieira's",2015-10-08
"454","ES1015B0069","YB - Fall Study","B9D80960412","ES1015B0604",2015-10-08 10:51:00,"RVB - Rio Vista",2015-10-08
"455","ES1015B0069","YB - Fall Study","B9D81450411","ES1015B0605",2015-10-08 10:11:00,"Liberty at S End",2015-10-08
"456","ES1015B0070","YB - Fall Study","A1030000","ES1015B0609",2015-10-14 10:10:00,"Woodland Wasetwater",2015-10-14
"457","ES1015B0070","YB - Fall Study","A0033300","ES1015B0611",2015-10-14 08:00:00,"Davis Wastewater",2015-10-14
"458","ES1015B0072","YB - Fall Study","A0D84761435","ES1015B0628",2015-10-19 08:15:00,"Ridge Cut Slough",2015-10-19
"459","ES1015B0072","YB - Fall Study","A1030000","ES1015B0630",2015-10-19 08:52:00,"Woodland Wasetwater",2015-10-19
"460","ES1015B0072","YB - Fall Study","A0D84061386","ES1015B0631",2015-10-19 09:20:00,"Toe Drain at Rd. 22",2015-10-19
"461","ES1015B0072","YB - Fall Study","A0033300","ES1015B0632",2015-10-19 10:00:00,"Davis Wastewater",2015-10-19
"462","ES1015B0072","YB - Fall Study","A0D83441350","ES1015B0633",2015-10-19 10:21:00,"Toe Drain@ I-80",2015-10-19
"463","ES1015B0072","YB - Fall Study","B9D82851352","ES1015B0634",2015-10-19 11:00:00,"Toe Drain YB LISBON",2015-10-19
"464","ES1015B0072","YB - Fall Study","A0D82120386","ES1015B0635",2015-10-19 10:00:00,"Toe Drain at STTD",2015-10-19
"465","ES1015B0072","YB - Fall Study","B9D81651399","ES1015B0636",2015-10-19 10:26:00,"BL5 -Below Toe Drain",2015-10-19
"466","ES1015B0072","YB - Fall Study","B9D81450411","ES1015B0637",2015-10-19 10:48:00,"Liberty at S End",2015-10-19
"467","ES1015B0072","YB - Fall Study","B9D81281402","ES1015B0638",2015-10-19 11:00:00,"RYI - Cache Slough",2015-10-19
"468","ES1015B0072","YB - Fall Study","B9D81040386","ES1015B0639",2015-10-19 11:15:00,"SRV - Vieira's",2015-10-19
"469","ES1015B0072","YB - Fall Study","B9D80960412","ES1015B0640",2015-10-19 11:36:00,"RVB - Rio Vista",2015-10-19
"470","ES1015B0072","YB - Fall Study","A0D84061386","ES1015B0641",2015-10-19 09:20:00,"Toe Drain at Rd. 22",2015-10-19
"471","ES1015B0073","YB - Fall Study","A0D84761435","ES1015B0643",2015-10-27 09:03:00,"Ridge Cut Slough",2015-10-27
"472","ES1015B0073","YB - Fall Study","A1030000","ES1015B0645",2015-10-27 09:44:00,"Woodland Wasetwater",2015-10-27
"473","ES1015B0073","YB - Fall Study","A0D84061386","ES1015B0646",2015-10-27 10:05:00,"Toe Drain at Rd. 22",2015-10-27
"474","ES1015B0073","YB - Fall Study","A0033300","ES1015B0647",2015-10-27 10:39:00,"Davis Wastewater",2015-10-27
"475","ES1015B0073","YB - Fall Study","A0D83441350","ES1015B0648",2015-10-27 10:58:00,"Toe Drain@ I-80",2015-10-27
"476","ES1015B0073","YB - Fall Study","B9D82851352","ES1015B0649",2015-10-27 11:24:00,"Toe Drain YB LISBON",2015-10-27
"477","ES1015B0074","Yolo Bypass 2013","A0200000","ES1015B0657",2015-10-28 09:04:00,"SHER",2015-10-28
"478","ES1015B0074","Yolo Bypass 2013","A0200000","ES1015B0660",2015-10-28 09:04:00,"SHER",2015-10-28
"479","ES1019B0031"," North Delta Flow Action","Blank; Equipment","ES1019B0417",2019-09-30 12:30:00,"Blank; Equipment",2019-09-30
